scenario,ecological_score,economic_score,social_access_score,low_disturbance_score,policy_context,weighted_score,rank
Dispersed,0.25,0.5933,0.5,1.0,Nature priority,0.4968,4
Patch enlargement,0.6163,1.0,0.8967,0.0,Nature priority,0.5286,2
Connectivity focused,0.7258,0.0,0.5,0.2879,Nature priority,0.5212,3
Integrated,0.7456,0.0079,0.5818,0.5048,Nature priority,0.5953,1
Dispersed,0.25,0.5933,0.5,1.0,Multifunctional,0.5108,2
Patch enlargement,0.6163,1.0,0.8967,0.0,Multifunctional,0.6899,1
Connectivity focused,0.7258,0.0,0.5,0.2879,Multifunctional,0.4222,4
Integrated,0.7456,0.0079,0.5818,0.5048,Multifunctional,0.4841,3
Dispersed,0.25,0.5933,0.5,1.0,Production oriented,0.5466,2
Patch enlargement,0.6163,1.0,0.8967,0.0,Production oriented,0.8026,1
Connectivity focused,0.7258,0.0,0.5,0.2879,Production oriented,0.274,4
Integrated,0.7456,0.0079,0.5818,0.5048,Production oriented,0.3199,3
